step,t,x,y,z,vx,vy,vz,X_inertial,Y_inertial,Jacobi_C,Jacobi_Drift
86,0.086000,0.82255083,0.01409488,0.00491964,0.01471756,0.16168724,-0.00186358,0.81830024,0.08469500,3.1754207949,0.0000e+00
87,0.087000,0.82256563,0.01425653,0.00491777,0.01488558,0.16161008,-0.00188501,0.81821584,0.08567558,3.1754207949,0.0000e+00
88,0.088000,0.82258060,0.01441810,0.00491587,0.01505348,0.16153203,-0.00190642,0.81813046,0.08665601,3.1754207949,0.0000e+00
89,0.089000,0.82259574,0.01457959,0.00491395,0.01522128,0.16145311,-0.00192783,0.81804412,0.08763630,3.1754207949,0.0000e+00
90,0.090000,0.82261104,0.01474101,0.00491202,0.01538897,0.16137331,-0.00194922,0.81795681,0.08861643,3.1754207949,4.4409e-16
91,0.091000,0.82262651,0.01490234,0.00491006,0.01555654,0.16129263,-0.00197061,0.81786854,0.08959642,3.1754207949,4.4409e-16
92,0.092000,0.82264215,0.01506359,0.00490807,0.01572401,0.16121108,-0.00199199,0.81777929,0.09057625,3.1754207949,0.0000e+00
93,0.093000,0.82265796,0.01522476,0.00490607,0.01589136,0.16112866,-0.00201336,0.81768908,0.09155592,3.1754207949,4.4409e-16
94,0.094000,0.82267394,0.01538585,0.00490405,0.01605860,0.16104536,-0.00203472,0.81759790,0.09253544,3.1754207949,0.0000e+00
95,0.095000,0.82269008,0.01554685,0.00490200,0.01622572,0.16096118,-0.00205608,0.81750575,0.09351480,3.1754207949,0.0000e+00
96,0.096000,0.82270639,0.01570777,0.00489994,0.01639272,0.16087614,-0.00207742,0.81741264,0.09449400,3.1754207949,4.4409e-16
97,0.097000,0.82272286,0.01586860,0.00489785,0.01655961,0.16079022,-0.00209875,0.81731856,0.09547304,3.1754207949,4.4409e-16
98,0.098000,0.82273951,0.01602935,0.00489574,0.01672637,0.16070343,-0.00212008,0.81722351,0.09645191,3.1754207949,0.0000e+00
99,0.099000,0.82275632,0.01619001,0.00489361,0.01689302,0.16061577,-0.00214139,0.81712750,0.09743062,3.1754207949,8.8818e-16
100,0.100000,0.82277329,0.01635058,0.00489146,0.01705955,0.16052723,-0.00216270,0.81703052,0.09840917,3.1754207949,4.4409e-16
101,0.101000,0.82279044,0.01651106,0.00488928,0.01722595,0.16043783,-0.00218399,0.81693258,0.09938754,3.1754207949,0.0000e+00
102,0.102000,0.82280774,0.01667146,0.00488709,0.01739222,0.16034756,-0.00220528,0.81683367,0.10036574,3.1754207949,0.0000e+00
103,0.103000,0.82282522,0.01683176,0.00488487,0.01755838,0.16025641,-0.00222655,0.81673379,0.10134378,3.1754207949,0.0000e+00
104,0.104000,0.82284286,0.01699197,0.00488263,0.01772440,0.16016440,-0.00224782,0.81663296,0.10232164,3.1754207949,0.0000e+00
105,0.105000,0.82286067,0.01715209,0.00488038,0.01789030,0.16007152,-0.00226908,0.81653115,0.10329932,3.1754207949,4.4409e-16
106,0.106000,0.82287864,0.01731211,0.00487810,0.01805607,0.15997778,-0.00229032,0.81642839,0.10427683,3.1754207949,0.0000e+00
107,0.107000,0.82289678,0.01747204,0.00487580,0.01822171,0.15988316,-0.00231156,0.81632466,0.10525416,3.1754207949,4.4409e-16
108,0.108000,0.82291509,0.01763188,0.00487347,0.01838722,0.15978768,-0.00233278,0.81621996,0.10623131,3.1754207949,0.0000e+00
109,0.109000,0.82293355,0.01779162,0.00487113,0.01855260,0.15969134,-0.00235399,0.81611431,0.10720827,3.1754207949,0.0000e+00
110,0.110000,0.82295219,0.01795126,0.00486877,0.01871784,0.15959413,-0.00237520,0.81600769,0.10818506,3.1754207949,4.4409e-16
111,0.111000,0.82297099,0.01811081,0.00486638,0.01888295,0.15949605,-0.00239639,0.81590011,0.10916166,3.1754207949,4.4409e-16
112,0.112000,0.82298996,0.01827025,0.00486397,0.01904793,0.15939711,-0.00241757,0.81579156,0.11013807,3.1754207949,0.0000e+00
113,0.113000,0.82300909,0.01842960,0.00486154,0.01921276,0.15929731,-0.00243874,0.81568206,0.11111429,3.1754207949,4.4409e-16
114,0.114000,0.82302838,0.01858885,0.00485909,0.01937746,0.15919664,-0.00245990,0.81557159,0.11209033,3.1754207949,4.4409e-16
115,0.115000,0.82304784,0.01874799,0.00485662,0.01954202,0.15909512,-0.00248105,0.81546016,0.11306617,3.1754207949,4.4409e-16
116,0.116000,0.82306747,0.01890704,0.00485413,0.01970644,0.15899273,-0.00250219,0.81534777,0.11404182,3.1754207949,4.4409e-16
117,0.117000,0.82308725,0.01906598,0.00485162,0.01987072,0.15888948,-0.00252332,0.81523442,0.11501728,3.1754207949,4.4409e-16
118,0.118000,0.82310721,0.01922482,0.00484909,0.02003486,0.15878537,-0.00254443,0.81512011,0.11599254,3.1754207949,4.4409e-16
